string_id,text
2628971,전투 상태에서는 사용할 수 없습니다
42952301931,전투 상태에서는 사용할 수 없습니다
85901974891,전투 상태에서는 사용할 수 없습니다(
128851647851,전투 상태에서는 사용할 수 없습니다
171801320811,전투 상태에서는 사용할 수 없습니다
214750988328,하나 이상의 A.T.A.G 를 보유할 수 없습니다./
214750993771,전투 상태에서는 사용할 수 없습니다
257700666731,전투 상태에서는 사용할 수 없습니다
300650339691,전투 상태에서는 사용할 수 없습니다
343600012651,전투 상태에서는 사용할 수 없습니다
386549685611,전투 상태에서는 사용할 수 없습니다(
3521873184192,"사라진 왕조의 그림자, 살아남은 의지"
3736621548991,수많은 이야기와 운명이 교차하는 곳
3951369913795,옷과 물건에 생명을 불어넣는 색의 비밀
4123168605635,옷과 물건에 생명을 불어넣는 색의 비밀
4595615008198,어느 날 모습을 드러낸 갑작스러운 생물들
4638564681155,입에서 입으로 전해지는 설화 속 생물들
4681514354114,파이웰 대륙에 존재하는 기계 생명체들
4896262718912,무한한 파이웰 대륙의 역사가 깃든 곳
5755256178112,바다의 품에서 태어난 또 다른 생명들
6485400617922,{emoji:cd_icon_ability_wanted_immune} 협박하기
6571299963842,{emoji:cd_icon_ability_wanted_immune} 소매치기
6614249636802,{emoji:cd_icon_ability_wanted_immune} 소매치기
6614249637311,성벽을 지키고 무너뜨리는 공성 병기
8761733285311,풍요로운 대지의 축복을 받은 사람들
8804682958271,풍요로운 대지의 축복을 받은 사람들
8890582304181,델레시아 공화국 지식 미노출 캐릭터
17093969839042,{emoji:cd_icon_ability_wanted_immune} 훔쳐타기
17136919512002,{emoji:cd_icon_ability_wanted_immune} 훔쳐타기
22849226016195,향기와 색으로 유혹하며 파괴를 품은 꽃
23665269802432,대지와 암석 속에서 캐낸 귀중한 자원
23708219475392,대지와 암석 속에서 캐낸 귀중한 자원
49993419326915,모래바람과 건조한 기후 속에 있는 동굴
50036368999875,모래바람과 건조한 기후 속에 있는 동굴
60473139529152,아직 아이콘이 없어 노출하지 않을 것
73486890436035,이야기와 웃음이 오가는 한 잔의 주인들
73529840108995,이야기와 웃음이 오가는 한 잔의 주인들
73572789781955,이야기와 웃음이 오가는 한 잔의 주인들
73615739454911,어둠 속에서 거래를 이어가는 상인들
73744588473791,각자의 주군에게 충성을 다하는 자들
73830487819717,영지에서 소박한 일상을 꾸려가는 주민들
74345883895235,이야기와 웃음이 오가는 한 잔의 주인들
74388833568195,이야기와 웃음이 오가는 한 잔의 주인들
74431783241155,이야기와 웃음이 오가는 한 잔의 주인들
74474732914111,어둠 속에서 거래를 이어가는 상인들
74603581932995,이야기와 웃음이 오가는 한 잔의 주인들
87660282512835,이야기와 웃음이 오가는 한 잔의 주인들
87703232185795,이야기와 웃음이 오가는 한 잔의 주인들
87746181858755,이야기와 웃음이 오가는 한 잔의 주인들
87789131531711,어둠 속에서 거래를 이어가는 상인들
87917980550595,이야기와 웃음이 오가는 한 잔의 주인들
88519275972035,이야기와 웃음이 오가는 한 잔의 주인들
88562225644995,이야기와 웃음이 오가는 한 잔의 주인들
88605175317955,이야기와 웃음이 오가는 한 잔의 주인들
88648124990911,어둠 속에서 거래를 이어가는 상인들
88776974009795,이야기와 웃음이 오가는 한 잔의 주인들
89378269431235,이야기와 웃음이 오가는 한 잔의 주인들
89421219104195,이야기와 웃음이 오가는 한 잔의 주인들
89464168777155,이야기와 웃음이 오가는 한 잔의 주인들
89507118450115,이야기와 웃음이 오가는 한 잔의 주인들
89593017796035,이야기와 웃음이 오가는 한 잔의 주인들
186573379339375,망가진 비지오네: 납치당한 마녀의 기억
187990718547058,망가진 비지오네: 학술원에 드리운 그림자
216852898779049,디버그용 퀘스트 영역 표시용 원형 ( 완료 )
270625889322435,혹한의 설산과 붉은 숲이 어우러진 대지
632605733030245,아이템 판매금을 한 번 15배로 올려준다.
009852,백작님 서재는 조심히 정리해야 해요.
34454399447204977,값비싼 출입증이지만 용도는 한정적이다.
3448905983328449,
3448910278295745,
3448914573263041,
3448948933001409,
3448953227968705,
3448957522936001,
3448961817903297,
3448966112870593,
3448970407837889,
3448991882674369,
3448996177641665,
3449000472608961,
3449004767576257,
011679,"명심하십쇼, 돈 앞에서는 누구든 남입니다."
42949758859353442,현재 고도에서는 호출할 수 없습니다./
42949930658045287,조절을 잘못해서 낚싯줄이 끊어졌습니다.
42950403104441455,적을 추격하는 이타노 포탄을 발사한다.
42950446054114414,적을 추격하는 비스무트탄을 발사한다.
42950660802479201,[QA] 프로파일링 (에르난드-페일룬 2.5)
42950660802479216,[QA] 프로파일링 에르난드-페일룬 속도 2.5
42952421739070575,클리프에게 상처 형상을 입히는 아이템.
42952679437108162,{emoji:cd_icon_ability_wanted_immune} 훔쳐타기
42953280732529770,요리에 필요한 재료를 얻을 수 있다.
42953495480894403,{emoji:cd_icon_ability_wanted_immune} 마차 강탈
42956158360618896,손으로 직접 깎은 단검 모양의 나무 조각
42956802605712322,{emoji:cd_icon_ability_wanted_immune} 훔쳐타기
42958649441649602,{emoji:cd_icon_ability_wanted_immune} 훔쳐타기
42958735340999686,마르니 호위 비행기 전방 프로펠러_Index01
42960668076278890,요리에 필요한 재료를 얻을 수 있다.
42961741818102890,요리에 필요한 재료를 얻을 수 있다.
42962471962542561,대의의 심판관 전투견 그레이트 데인
42964104050115699,비지오네의 기능에 대한 설명이 쓰여 있다.
4296410405018817,
42965693188019208,노래하는 메기호 사이드 대포 터렛 발사부
42966423332455535,데미안이 사용하던 깃털이 달린 펜이다.
42969386859889772,페일룬의 현 상황이 작성된 서신이다.
42972393336996970,웅카 팔에 노화 효과를 주는 아이템.
4297522801542337,
4297655945533633,
42981455717991539,덩굴 마을의 흔적을 담고 있는 기억의 파편
42982400610800647,전기 공격 영역 생성용 기믹(1m 원형 바닥)
42982529459815538,마르니 실험실의 기억을 담고 있는 디스크
42982615359161459,버려진 종의 흔적을 담고 있는 기억의 파편
42982873057199216,마차에 연결하기 위해 말에 입히는 마구.
42990818746696811,마을 내 도둑을 찾기 위한 탐문 일지.
42991291193099375,마르셀 백작에게 도착한 의문의 편지다.
42991892488520819,벨칸드 갑옷 제작 지식이 기록되어 있는 책
42991935438193779,벨칸드 망토 제작 지식이 기록되어 있는 책
42992107236885619,벨칸드 장갑 제작 지식이 기록되어 있는 책
42992193136231539,벨칸드 신발 제작 지식이 기록되어 있는 책
42992579683288179,벨칸드 투구 제작 지식이 기록되어 있는 책
42992579683292166,비스무트 여왕 돌멘게 2페이즈 약점 데코
4299545731159233,
42996488103527530,요리에 필요한 재료를 얻을 수 있다.
42997003499603053,독 화살 제작 지식이 기록되어 있는 책
42999108033578095,베이겐 마을의 민가에서 발견한 일기장.
43015300060288008,"야전 무기거치대 05(양손해머, 한손메이스)"
43018134738698721,지옥의 사냥개 전투견 그레이트 데인
43023159850439680,구름성 오르비안 톱니교란 특수탄환
43028786257593456,폭발에 맞은 적은 물방울에 갇히게 된다.
43028872156939373,폭발에 맞은 적은 덩굴에 갇히게 된다.
43031019640591361,지정타로 돌아가는 문 타격 부 (우측)
43031535036666881,지정타로 돌아가는 문 타격 부 (좌측)
43032780577178735,적을 추격하는 이타노 포탄을 발사한다.
43033253023585282,프리무스 소환 토네이도(세형제 절벽)
43034799211811844,지정타로 돌아가는 문 타격 부 (중앙부)
43034885111157769,프리무스 소환 하얀 토네이도(세형제 절벽)
43037204393492960,블리드 패거리 전투견 그레이하운드
43037247343165923,외눈박이 승냥이 전투견 그레이하운드
43037290292838881,대의의 심판관 전투견 그레이트 데인
43041971807192173,화염 창 제작 지식이 기록되어 있는 책
4304197180720321,
43042487203267693,풍력 창 제작 지식이 기록되어 있는 책
4304248720327873,
